,title,author_info,rating,pros,cons,helpful
611,Not as advertised,,3.0,"- Intentions for top talent are aspirational, and hopeful - Believe in people care (caution - does not extend to support functions) - Strong marketing culture","- Toxic sales culture, growth is highest priority, including over the code of conduct and values - Execution to advertised best workplace are not reality, and are often marketing campaigns or gimmicks (such as equal pay for women) - Lack of diversity - particularly in most valued sales, technology positions",5 people found this review helpful
612,Review,,3.0,"Was good experience, can Lear a lot","Very stress, very competitive not friendly",Be the first to find this review helpful
615,Great large corp,"Jun 27, 2022 - Senior Manager Change Management in Santa Fe, NM",5.0,"Lots of oppty to learn, grow, and interact with really smart and dedicated people in the IT industry","Lots of internal competition to exceed or be recognized publicly; Do not hire in at the wrong level. There is no relelveing. You have to be promoted, which can take years, even if everyone admits you may be in the wrong place.",1 person found this review helpful
616,Great company to work for,"Jun 30, 2022 - Director",5.0,"Company with strong growth, industry leader, aspiring leaders, great benefits, give back to the community",Getting promoted mid/senior level is hard,Be the first to find this review helpful
617,Amazing company horrible pay,"Jul 6, 2022 - Account Executive in Denver, CO",3.0,The company truly believes in its platform as a medium for change. Senior leadership is incredible and you truly do feel part of an important business.,People who earn their way up through the sales ranks are paid significantly less than external hires on the same team. The job is incredibly complex for otherwise low pay,4 people found this review helpful
618,Strong team environment with room to grow your career,"Jun 29, 2022 - Sales",5.0,- Career growth potential - Innovative - Remote work - Good compensation - Great culture,- Onboarding is challenging due to the amount of mandatory training - Sometimes difficult to find the content you need via internal channels,Be the first to find this review helpful
619,great,"Jun 29, 2022 - Anonymous Employee",5.0,great company to work for,fairly top down in nature,Be the first to find this review helpful
620,good company,"Jun 28, 2022 - Anonymous Employee",5.0,great benefits and good work life balance,Not many cons to say,Be the first to find this review helpful
621,Great Company to work for,,5.0,_Growth opportunities _Stock option _Expand into other expertise _On Job Learning,Did not find any Cons to talk about,Be the first to find this review helpful
622,Great company,,4.0,- great resources - great culture,- constant change can lead to overly high aspirational goals,Be the first to find this review helpful
